Status Indicator,Create Date,Maintenance Date,Responsible IT Area,Impact Category,Purpose Group,Emergency / Time Senstive
Completed,4/14/2017 12:47,4/20/2017,Network Infrastructure,,New Implementation,
Completed,4/11/2017 8:50,4/20/2017,Network Operations (Server / SAN),,Security,
Completed,4/11/2017 8:45,4/20/2017,Network Operations (Server / SAN),,Enhancement,
Completed,4/14/2017 16:59,4/14/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,3/20/2017 16:19,4/14/2017,Network Operations (Server / SAN),,New Implementation,TRUE
Completed,3/27/2017 14:55,4/13/2017,Network Operations (Server / SAN),,Enhancement,
Completed,4/11/2017 8:41,4/13/2017,Network Operations (Server / SAN),,New Implementation,
Completed,4/5/2017 14:52,4/13/2017,Network Operations (Server / SAN),,Security,
Completed,3/30/2017 9:14,4/13/2017,Network Operations (Server / SAN),,Enhancement,
Completed,3/27/2017 14:51,4/12/2017,Network Operations (Server / SAN),,Enhancement,
Completed,4/5/2017 14:45,4/6/2017,Network Operations (Server / SAN),,Security,
Completed,4/4/2017 9:57,4/4/2017,Multi-Team (Indicate groups in Additional Information),,Enhancement,TRUE
Completed,1/30/2017 15:06,3/28/2017,ERP / SAP,,Preventive,
Completed,3/21/2017 16:21,3/24/2017,Network Infrastructure,,New Implementation,
Completed,3/13/2017 9:49,3/23/2017,Multi-Team (Indicate groups in Additional Information),,Enhancement,
Completed,3/21/2017 12:19,3/21/2017,Network Operations (Server / SAN),,Preventive,
Completed,3/7/2017 16:27,3/21/2017,Multi-Team (Indicate groups in Additional Information),,Enhancement,TRUE
Completed,2/17/2017 15:08,3/20/2017,Network Operations (Server / SAN),,Enhancement,
Completed,3/10/2017 11:25,3/16/2017,Network Operations (Server / SAN),,Security,
Completed,2/28/2017 10:56,3/10/2017,Network Infrastructure,,New Implementation,
Completed,3/3/2017 15:42,3/9/2017,Network Operations (Server / SAN),,Security,
Completed,2/14/2017 11:49,3/9/2017,Multi-Team (Indicate groups in Additional Information),,Enhancement,
Completed,2/28/2017 10:48,3/3/2017,Network Infrastructure,,Preventive,
Completed,2/14/2017 13:10,3/3/2017,Network Infrastructure,,Preventive,
Completed,3/1/2017 14:44,3/1/2017,Network Operations (Server / SAN),,Preventive,
Completed,1/30/2017 15:04,2/27/2017,ERP / SAP,,Preventive,
Completed,2/24/2017 15:19,2/24/2017,Web / Portal Team,,Security,
Completed,2/14/2017 15:05,2/23/2017,Network Infrastructure,,Preventive,
Completed,2/14/2017 11:04,2/23/2017,Multi-Team (Indicate groups in Additional Information),,Preventive,
Completed,2/21/2017 11:41,2/22/2017,,,,
Completed,2/16/2017 7:31,2/21/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
Completed,1/30/2017 16:12,2/11/2017,ERP / SAP,,Preventive,
Completed,2/6/2017 16:12,2/9/2017,Network Operations (Server / SAN),,Preventive,
Completed,1/31/2017 14:03,2/8/2017,,,Fix / Patch,
Completed,2/2/2017 17:22,2/3/2017,ERP / SAP,,Enhancement,TRUE
Completed,1/31/2017 17:02,2/2/2017,ERP / SAP,,Enhancement,TRUE
Completed,1/30/2017 16:03,2/2/2017,Network Infrastructure,,,
Completed,1/23/2017 13:55,2/2/2017,Network Infrastructure,,Fix / Patch,
Completed,2/1/2017 17:25,2/1/2017,Multi-Team (Indicate groups in Additional Information),,Fix / Patch,
